item,label,subject,matched_term
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478623,"Venere consegna a Enea le armi forgiate da Vulcano (stampa, elemento d'insieme) by Pinelli Bartolomeo (sec. XIX)",Venere consegna a Enea le armi forgiate da Vulcano,"['Venere', 'Enea', 'Vulcano']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0700253990,"Venere consegna ad Enea le armi preparate da Vulcano (dipinto, opera isolata) by De Ferrari Lorenzo (secondo quarto sec. XVIII)",Venere consegna ad Enea le armi preparate da Vulcano,"['Venere', 'Enea', 'Vulcano']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500280095,Venere unisce Ercole e Ebe (disegno) by Marcola Marco (seconda metà sec. XVIII),Venere unisce Ercole e Ebe,"['Venere', 'Ercole', 'Ebe']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500280194,Venere unisce Ercole e Ebe (disegno) di Dorigny Ludovico (sec. XVIII),Venere unisce Ercole e Ebe,"['Venere', 'Ercole', 'Ebe']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500280193,Venere unisce Ercole e Ebe (disegno) di Dorigny Ludovico (sec. XVIII),Venere unisce Ercole e Ebe,"['Venere', 'Ercole', 'Ebe']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100200718,"Venere, Eros e Anteros (dipinto, opera isolata) by Dameret Luca (terzo quarto sec. XVII)","Venere, Eros e Anteros","['Venere', 'Eros', 'Anteros']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800039993,trionfo di Venere e Galatea e ritratti di pittori (vaso) - manifattura Ferniani (seconda metà sec. XIX),trionfo di Venere e Galatea e ritratti di pittori,"['Venere', 'Galatea']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1201033447,Venere ottiene da Giove la protezione per Enea (dipinto) di De Angelis Domenico (sec. XVIII),Venere ottiene da Giove la protezione per Enea,"['Venere', 'Giove', 'Enea']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478590,"Venere intercede presso Giove per Enea (stampa, elemento d'insieme) di Pinelli Bartolomeo (sec. XIX)",Venere intercede presso Giove per Enea,"['Venere', 'Giove', 'Enea']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100217255-12,"Venere, Giove e Mercurio (stampa tagliata, serie) by Coxie Michele, Daddi Bernardo detto il Maestro del Dado (prima metà sec. XVI)","Venere, Giove e Mercurio","['Venere', 'Giove', 'Mercurio']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900383027-15,"Venere chiede vendetta a Giove e Mercurio (stampa smarginata, serie) by Coxie Michiel, Maestro B nel Dado (secondo quarto sec. XVI)",Venere chiede vendetta a Giove e Mercurio,"['Venere', 'Giove', 'Mercurio']"
