qid,P31,P21,P2925,P22,P25,P460,P1889,P4185,P157,P1074
Q320449,Q22988604,Q6581072,,Q182439,Q488624,,,,,
Q912904,Q22988604,Q6581072,,Q406388,Q48665,,Q12784350,,,
Q1643451,Q22988604,Q6581072,,Q79999,Q93172,,,,,
Q482096,Q22988604,Q6581072,,Q210883,Q15208147,,,,,
Q3614346,Q22988604,Q6581097,,,,,,,,
Q474474,Q163709,Q6581097,,,,,,,,
Q488558,Q22988604,Q6581097,,Q646733,,,,,,
Q488621,Q22988604,Q6581072,,,,,,,,
Q211953,Q22988604,Q6581097,,Q20018046,,,,,,
Q19376,Q22988604,Q6581072,,Q1069769,,,,,,
Q161582,Q22988604,Q6581072,,Q858116,Q207681,,Q102897,,,
Q242835,Q22988604,Q6581097,,Q34201,Q461439,,,,,
Q131351,Q22988604,Q6581072,,Q130890,Q131445,,Q20978302,,,
Q4067040,Q22988604,Q6581072,,Q1509662,,,Q12748406,,,
Q579000,Q22988604,Q6581097,,Q13233212,,,Q171876,,,
Q461439,Q22988604,Q6581072,,Q622781,Q2103193,,Q255393,,,
Q333658,Q22988604,Q6581097,,Q241971,Q748574,Q128903579,,,,
Q190082,Q22988604,Q6581072,,Q24055258,,,,,,
Q2866192,Q22988604,Q6581072,,Q189527,Q726279,Q643456,,,,
Q189821,Q22988604,Q6581097,,Q735623,,,,,Q41484,
Q184874,Q22988604,Q6581072,,Q23168,Q203236,,Q654349,,,
Q311536,Q22988604,Q6581097,,Q329690,,,,,,
Q181360,Q28061975,Q6581072,,Q326767,Q1438693,,Q30301514,,,
Q2655419,Q22988604,Q6581097,,Q1141300,Q12880560,Q136512504,,,,
Q655566,Q22988604,Q6581097,,Q82732,Q375174,Q16523986,Q25939254,,,
Q334787,Q22988604,Q6581097,,Q159666,Q19376,,,,,
Q190323,Q22988604,Q6581072,,Q16559355,Q2344103,Q13375989,Q23556,,,
Q208531,Q22988604,Q6581097,,Q392435,Q94072,,,,Q4425724,
Q791446,Q22988604,Q6581097,,,,,,,,
Q23034980,Q22988604,Q6581072,,,,,,,,
Q189872,Q22988604,Q6581097,,Q1232714,Q956831,,Q242309,,,
Q855426,Q22988604,Q6581072,,Q2470261,Q15543320,,,,,
Q29789169,Q22988604,Q6581097,,,Q5796492,,,,,
Q244318,Q22988604,Q6581072,,Q734411,,,,,,
Q754686,Q3707571,Q6581097,,Q4640,,,,,,
Q27613,Q22988604,Q6581097,,Q392631,Q853437,,,,,
Q893473,Q22988604,Q6581097,,Q109220,Q1129489,,Q240840,,,
Q725527,Q22988604,Q6581097,,Q2420316,,,,,,
Q103975,Q22988604,Q6581072,,Q34201,Q102884,,,,,
Q1362409,Q22988604,Q6581072,,Q406388,Q48665,,Q21150330,,,
Q11294144,Q22988604,Q6581097,,Q192946,Q182019,,,,,
Q500739,Q22988604,Q6581097,,,,,,,,
Q643504,Q22988604,Q6581097,,Q1183342,Q3028712,Q3010239,,,,
Q578888,Q22988604,Q6581097,,Q1775444,,,,,,
Q1132772,Q22988604,Q2449503,,Q4817519,,,,,,
Q2606272,Q22988604,Q6581097,,Q271891,Q3874213,,Q83203,,,
Q83496,Q2280977,Q44148,,Q180237,Q185670,Q213932,Q6667,,,
Q466882,Q2239243,Q43445,,,,,,,,
Q183417,Q83203,Q6581097,,Q44204,Q398524,,,,,
Q1066344,Q22988604,Q6581097,,Q41127,Q2934559,Q25433606,,,,
Q15711584,Q22988604,Q6581072,,Q189527,Q726279,,,,,
Q334456,Q2239243,Q44148,,,,,,,,
Q13667632,Q22988604,Q6581097,,,,,,,,
Q1056143,Q22988604,Q6581097,,Q916442,,,,,,
Q64581998,Q22988604,Q6581097,,,Q5796492,,,,,
Q103968,Q22988604,Q6581072,Q1066186,Q34201,Q102884,,Q398232,,,
Q131157,Q22988604,Q6581072,,Q192946,Q182019,,Q6560236,,,
Q3682459,Q22988604,Q6581097,,,,,,,Q159666,
Q2753233,Q22988604,Q6581097,,Q34201,Q858663,,,,,
Q725286,Q22988604,Q6581072,,Q831583,,,Q6432541,,Q37340,
Q732066,Q22988604,Q6581097,,Q1178176,,,Q507107,,,
Q375174,Q22988604,Q6581072,,Q170473,Q193433,,,,,
Q1043413,Q22988604,Q6581097,,Q192485,Q931321,,,,,
Q3698712,Q22988604,Q6581097,,Q7179974,,,,,,
Q190582,Q22988604,Q6581072,,Q208017,Q1318307,,,,,
