entity,name,aka,description
http://www.wikidata.org/entity/Q12874522,Basile,,divinità greca
http://www.wikidata.org/entity/Q4078991,Basileia,,
http://www.wikidata.org/entity/Q810744,Batea,,"Naiade della mitologia greca, moglie di Ebalo secondo alcune versioni"
http://www.wikidata.org/entity/Q792732,Bendis,,"divinità tracia, poi venerata anche in Grecia"
http://www.wikidata.org/entity/Q793088,Bentesicima,,figura della mitologia greca
http://www.wikidata.org/entity/Q826973,Beroe,,"Nereide oppure Oceanina nella mitologia greca, eponima di Beirut"
http://www.wikidata.org/entity/Q2930007,Beroe,,ninfa della mitologia greca
http://www.wikidata.org/entity/Q237224,Bia,,dea greca della violenza e della forza
http://www.wikidata.org/entity/Q122878708,Bine,,
http://www.wikidata.org/entity/Q16327920,Biris,,
http://www.wikidata.org/entity/Q11909453,Bistonide,,
http://www.wikidata.org/entity/Q4810860,Bolbe,,naiade od Oceanina della mitologia greca
http://www.wikidata.org/entity/Q4939448,Bolina,,ninfa nella mitologia greca
http://www.wikidata.org/entity/Q109220,Borea,Aquilone,divinità greca del vento del nord
http://www.wikidata.org/entity/Q3493453,Boristene,,
http://www.wikidata.org/entity/Q4946887,Boristenide,,
http://www.wikidata.org/entity/Q126913746,Boristenide,,
http://www.wikidata.org/entity/Q56152358,Brauronia,,epiteto di Artemide
http://www.wikidata.org/entity/Q849647,Briareo,Egeone,uno degli Ecatonchiri nella mitologia greca
http://www.wikidata.org/entity/Q12651378,Bricone,,divinità fluviale greca
http://www.wikidata.org/entity/Q10435640,Brisa,,ninfa della mitologia greca
http://www.wikidata.org/entity/Q831577,Britomarti,Britomarte,"divinità minoica, poi oreade nella mitologia greca"
http://www.wikidata.org/entity/Q921527,Brizo,Brizò,
http://www.wikidata.org/entity/Q3645274,Bromie,,
http://www.wikidata.org/entity/Q2305446,Caanto,,
http://www.wikidata.org/entity/Q3649172,Cabeiro,"Cabiro, Cabeirò","ninfa della mitologia greca, figlia di Proteo e Anchinoe"
http://www.wikidata.org/entity/Q6349433,Cacia,Kakia,dea greca del vizio
http://www.wikidata.org/entity/Q11733247,Cadmilo,,
http://www.wikidata.org/entity/Q2937275,Cafira,Cafeira,Oceanina della mitologia greca
http://www.wikidata.org/entity/Q1737602,Caico,,divinità fluviale della mitologia greca
http://www.wikidata.org/entity/Q580309,Caissa,,
http://www.wikidata.org/entity/Q2943528,Caistro,,
http://www.wikidata.org/entity/Q5739811,Calcide,,"ninfa della mitologia greca, figlia di Asopo e Metope"
http://www.wikidata.org/entity/Q2559167,Caliadne,Caliadna,"naiade, moglie di Egitto"
http://www.wikidata.org/entity/Q2934546,Calibe,,
http://www.wikidata.org/entity/Q48805079,Caligine,,Divinità greca
http://www.wikidata.org/entity/Q48961,Calipso,,personaggio della mitologico greca
http://www.wikidata.org/entity/Q1246343,Callicore,,
http://www.wikidata.org/entity/Q1722503,Calliroe,Callirhoe,"personaggio della mitologia greca, figlia di Acheloo"
http://www.wikidata.org/entity/Q913161,Calliroe,,oceanina della mitologia greca
http://www.wikidata.org/entity/Q29564945,Calliroe,,naiade della mitologia greca
http://www.wikidata.org/entity/Q66488374,Calliste,,
http://www.wikidata.org/entity/Q203673,Callisto,Calisto,ninfa della mitologia greca
http://www.wikidata.org/entity/Q2934408,Calu,Calus,divinità etrusca
http://www.wikidata.org/entity/Q58371024,Calunnia,,divinità greca
http://www.wikidata.org/entity/Q12752525,Camarina,,
http://www.wikidata.org/entity/Q29490124,Caria,,amadriade della mitologia greca
http://www.wikidata.org/entity/Q4358140,Cariclo,,"personaggio della mitologia greca, moglie di Evero e madre di Tiresia"
http://www.wikidata.org/entity/Q912408,Cariclo,,moglie di Chirone
http://www.wikidata.org/entity/Q192082,Cariddi,,mostro marino nella mitologia greca
http://www.wikidata.org/entity/Q5047755,Caristo,,
http://www.wikidata.org/entity/Q1734053,Carme,,ninfa della mitologia greca
http://www.wikidata.org/entity/Q671534,Carneio,Carneo,
http://www.wikidata.org/entity/Q6612,Caronte,,personaggio della mitologia classica
http://www.wikidata.org/entity/Q676834,Carpo,,una delle Ore nella mitologia greca
http://www.wikidata.org/entity/Q1735272,Cassotide,,
http://www.wikidata.org/entity/Q170053,Castalia,,"personaggio della mitologia greca, figlia di Acheloo"
http://www.wikidata.org/entity/Q1417280,Cebreno,,divinità fluviale greca
http://www.wikidata.org/entity/Q1721421,Cecia,,divinità greca del vento di nord-est
http://www.wikidata.org/entity/Q1478704,Cefiso,,divinità fluviale greca della Beozia
http://www.wikidata.org/entity/Q51000323,Cefiso,,divinità fluviale greca dell'Attica
http://www.wikidata.org/entity/Q4219870,Cefisso,,divinità fluviale greca dell'Argolide
http://www.wikidata.org/entity/Q686174,Celeno,,"personaggio della mitologia greca, una delle sette Pleiadi"
http://www.wikidata.org/entity/Q1477143,Celto,Galate,"personaggio della mitologia greca, figlio di Eracle"
http://www.wikidata.org/entity/Q182837,Ceo,,titano della mitologia greca
http://www.wikidata.org/entity/Q644692,Cercira,Corcira,"ninfa della mitologia greca, figlia di Asopo"
http://www.wikidata.org/entity/Q2723170,Ceroessa,,
http://www.wikidata.org/entity/Q209489,Ceto,Κητώ,divinità della mitologia greca
http://www.wikidata.org/entity/Q131090,Chaos,Caos,entità primigenia nella Teogonia di Esiodo
http://www.wikidata.org/entity/Q1069104,Chelona,Chelone,oreade della mitologia greca
http://www.wikidata.org/entity/Q1423058,Ciane,,ninfa della mitologia greca
http://www.wikidata.org/entity/Q188236,Cibele,"Magna Mater, Kubelis, Cibelis, Cybele","antica dea anatolica della natura, degli animali e dei luoghi selvatici, dai greci identificata con Rea"
http://www.wikidata.org/entity/Q1768771,Cidno,,
http://www.wikidata.org/entity/Q636428,Cidoimo,Kydoimos,divinità della mitologia greca
http://www.wikidata.org/entity/Q7595427,Cillene,,personaggio della mitologia greca
http://www.wikidata.org/entity/Q844867,Cimopolea,,"ninfa della mitologia greca, figlia di Poseidone"
http://www.wikidata.org/entity/Q106963795,Cinosura (mitologia),,
http://www.wikidata.org/entity/Q187602,Circe,,personaggio della mitologia greca
http://www.wikidata.org/entity/Q26399341,Cirene,,"ninfa della mitologia greca, madre di Diomede e Licaone"
http://www.wikidata.org/entity/Q57521134,Cirra,,
http://www.wikidata.org/entity/Q57521633,Cissiide,,
http://www.wikidata.org/entity/Q2974445,Citerone,Citerione,"re di Platea nella mitologia greca, eponimo del monte Citerone"
http://www.wikidata.org/entity/Q1744187,Cladeo,,divinità fluviale greca
http://www.wikidata.org/entity/Q57759291,Cleide,,
http://www.wikidata.org/entity/Q2980753,Cleocaria,,
http://www.wikidata.org/entity/Q2754601,Cleone,,"ninfa della mitologia greca, figlia di Asopo e Metope"
http://www.wikidata.org/entity/Q18643251,Clidanope,,
http://www.wikidata.org/entity/Q836792,Climene,,oceanina della mitologia greca
http://www.wikidata.org/entity/Q58055171,Climene,,
http://www.wikidata.org/entity/Q107272974,Climeno,,
http://www.wikidata.org/entity/Q782481,Clitumno,,
http://www.wikidata.org/entity/Q866674,Clizia,"Clitie, Clytia",Oceanina della mitologia greca
http://www.wikidata.org/entity/Q21051010,Clizia,,"personaggio della mitologia greca, figlia di Oceano"
http://www.wikidata.org/entity/Q1206054,Clizio,,gigante della mitologia greca
http://www.wikidata.org/entity/Q3680908,Clonia,,ninfa della mitologia greca
