qid,P31,P21,P2925,P460,P1889
Q131651,Q22988604 (mythological Greek character),Q6581072 (female),,Q419115 (Laodice),Q217340 (Elektra)
Q272047,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q82732,Q22988604 (mythological Greek character),Q6581097 (male),,,Q21547988 (Aeneis)
Q847890,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q2075786,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q104413,Q22988604 (mythological Greek character),Q6581072 (female),,,Q238304 (Erato)
Q568768,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q644921,Q22988604 (mythological Greek character),Q6581097 (male),,,Q343298 (Erichthonius)
Q19776360,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q16641710,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q410082,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q506550,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q159666,Q22988604 (mythological Greek character),Q6581097 (male),,Q537554 (Sigurd),Q342314 (Hektor)
Q1352687,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q16647668,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q956831,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q61014736,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q212087,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q1378578,Q83203 (centaur),Q6581097 (male),,Q124357578 (Eurytion),
Q540468,Q83203 (centaur),Q6581097 (male),,,
Q165170,Q22988604 (mythological Greek character),Q6581072 (female),Q46 (Europe),Q11921267 (Europa),Q741380 (Europa)
Q104012,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q837699,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q212818,Q22988604 (mythological Greek character),Q6581072 (female),,,Q5441136 (Fedra)
Q1235168,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q203480,Q22988604 (mythological Greek character),Q6581097 (male),,,Q3378668 (Phaethon)
Q23034982,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q115449,Q22988604 (mythological Greek character),Q6581072 (female),,,Q11698107 (Filomela)
Q212827,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q641065,Q22988604 (mythological Greek character),Q6581097 (male),,,Q395356 (Phineus)
Q22965548,Q22988604 (mythological Greek character),Q6581097 (male),,Q30097019 (Phorbas),
Q743482,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q241070,Q22988604 (mythological Greek character),Q6581072 (female),,Q3757460 (Galatea),Q12094023 (Galatea)
Q131588,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q86805,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q176758,Q22988604 (mythological Greek character),Q6581097 (male),,,Q238333 (Jason)
Q1413020,Q22988604 (mythological Greek character),Q6581097 (male),,,Q179785 (Gorgias)
Q1180888,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q34041,Q22988604 (mythological Greek character),Q6581097 (male),,,Q1658039 (Ikar)
Q1136130,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q192673,Q22988604 (mythological Greek character),Q6581072 (female),,Q28362963 (Iphianassa),Q28912311 (Ifigenia)
Q332752,Q22988604 (mythological Greek character),Q6581097 (male),,,Q1253371 (HYLAS-1)
Q847268,Q22988604 (mythological Greek character),Q6581097 (male),,Q41505034 (Hyllus),Q2005507 (Hyllus)
Q223690,Q1916821 (water deity),Q6581072 (female),,Q1821610 (Leucothea),Q11712651
Q744147,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q2468258,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q338201,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q1455747,Q22988604 (mythological Greek character),Q6581097 (male),,Q12755124 (Melanion),
Q2479189,Q22988604 (mythological Greek character),Q6581097 (male),,Q126901044 (Alcyoneus),
Q271891,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q1675360,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q274600,Q16326794 (mythological serpent),Q44148 (male organism),,,Q249548 (Ladon)
Q200073,Q16326794 (mythological serpent),Q6581072 (female),,Q59312503 (lamia in a work of fiction),Q59312503 (lamia in a work of fiction)
Q12754448,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q10316761,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q182019,Q22988604 (mythological Greek character),Q6581072 (female),,Q1298222 (Lada),
Q4259170,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q339980,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q922330,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q501667,Q431113 (autochthonos),Q6581097 (male),,,Q1160661 (Lycaon)
Q1330532,Q22988604 (mythological Greek character),Q6581097 (male),,,Q15262316 (Lycomedes)
Q270117,Q22988604 (mythological Greek character),Q6581097 (male),,,Q225349 (Lycurgus)
Q1124866,Q22988604 (mythological Greek character),Q6581097 (male),,,Q20088821 (Linkeus)
Q9026462,Q22988604 (mythological Greek character),Q6581097 (male),,Q113549334 (Macareus of Lesbos),
Q599737,Q163709 (satyr),Q6581097 (male),,,
Q174278,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q160730,Q22988604 (mythological Greek character),Q6581072 (female),,,Q3558668 (Medousa)
Q371545,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q3854114,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q321541,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q3854231,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q103992,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q506781,Q22988604 (mythological Greek character),Q6581097 (male),,Q122066765 (Ismandes),Q297965 (Memnon)
Q744871,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q171839,Q22988604 (mythological Greek character),Q6581097 (male),,,Q2153151 (Rimae Menelaus)
Q214003,Q22988604 (mythological Greek character),Q6581097 (male),,,Q13442311 (Mentes)
Q308398,Q22988604 (mythological Greek character),Q6581097 (male),,,Q436188 (Midas)
Q23168,Q22988604 (mythological Greek character),Q6581097 (male),,,Q527174 (Minos)
Q129866,Q20902363 (mythical human-animal hybrid),Q6581097 (male),,Q8207417 (Asterion),Q2243366 (Minotauros)
Q771366,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q1149595,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q179256,Q22988604 (mythological Greek character),Q6581097 (male),,,Q828609 (Narcissus of Girona)
Q3870520,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q322639,Q22988604 (mythological Greek character),Q6581097 (male),,Q12757289 (Pyrrhus),
Q466866,Q83203 (centaur),,,,
Q213621,Q22988604 (mythological Greek character),Q6581072 (female),,,Q1072573 (Niobe)
Q7134950,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q1929263,Q22988604 (mythological Greek character),Q6581097 (male),,,Q3455419 (Ocnus)
Q1419140,Q22988604 (mythological Greek character),Q6581097 (male),,,Q14522045 (Opheltes)
Q975447,Q22988604 (mythological Greek character),Q6581097 (male),,,Q18592060 (Oileus)
Q290144,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q486698,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q192407,Q22988604 (mythological Greek character),Q6581097 (male),,Q4691174 (Agamemnonides),
Q174353,Q22988604 (mythological Greek character),Q6581097 (male),,,Q15615531 (Orfeus)
Q16328250,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q252387,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q2048018,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q131346,Q22988604 (mythological Greek character),Q6581072 (female),,,Q108349 (Pandora)
Q167646,Q22988604 (mythological Greek character),Q6581097 (male),,,Q104197 (Paris)
Q186271,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q178641,Q22988604 (mythological Greek character),Q6581097 (male),,,
